"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2017","78.00","78.00","78.00","78.00","0.37K","-6.64%"
"Apr 23, 2017","83.55","83.55","83.55","83.55","0.04K","-0.77%"
"Apr 16, 2017","84.20","84.20","84.20","84.20","0.06K","0.06%"
"Apr 09, 2017","84.15","84.15","84.15","84.15","0.36K","-4.59%"
"Apr 02, 2017","88.20","90.40","90.40","90.40","1.07K","9.23%"
"Mar 26, 2017","80.75","80.75","80.75","80.75","0.17K","-0.25%"
"Mar 19, 2017","80.95","80.95","80.95","80.95","0.03K","-0.43%"
"Mar 12, 2017","81.30","81.75","81.75","81.25","0.20K","3.24%"
"Mar 05, 2017","78.75","80.35","80.35","80.35","0.60K","-2.72%"
"Feb 26, 2017","80.95","83.50","83.50","82.25","0.41K","1.19%"
"Feb 19, 2017","80.00","80.00","80.00","80.00","0.03K","0.13%"
"Feb 12, 2017","79.90","79.90","79.90","79.90","0.02K","-0.19%"
"Feb 05, 2017","80.05","80.05","80.05","80.05","0.30K","-3.55%"
"Jan 29, 2017","83.00","83.00","83.00","83.00","0.21K","-0.90%"
"Jan 22, 2017","83.75","83.75","83.75","83.75","0.01K","-0.06%"
"Jan 15, 2017","83.80","83.80","83.80","83.80","0.18K","0.36%"
"Jan 08, 2017","83.50","83.50","83.50","83.50","0.42K","0.00%"
"Jan 01, 2017","83.50","83.50","83.50","83.50","0.15K","-5.54%"
"Dec 25, 2016","88.40","88.40","88.40","88.40","0.01K","2.08%"
"Dec 18, 2016","86.60","86.60","86.60","86.60","0.06K","0.12%"
"Dec 11, 2016","86.50","86.50","86.50","86.50","0.13K","2.55%"
"Dec 04, 2016","84.35","84.35","84.35","84.35","0.08K","-3.49%"
"Nov 27, 2016","87.40","87.40","87.40","87.40","0.51K","-15.76%"
"Nov 20, 2016","103.75","103.75","103.75","103.75","0.30K","-1.28%"
"Nov 13, 2016","105.10","105.10","105.10","105.10","0.05K","-4.32%"
"Nov 06, 2016","109.85","110.00","110.00","110.00","0.20K","1.10%"
"Oct 30, 2016","108.65","115.00","115.00","108.00","0.72K","15.65%"
"Oct 23, 2016","93.95","93.95","93.95","93.95","0.30K","1.24%"
"Oct 16, 2016","92.80","92.80","92.80","92.80","0.03K","3.75%"
"Oct 09, 2016","89.45","89.45","89.45","89.45","0.15K","5.92%"
"Oct 02, 2016","84.45","84.45","84.45","84.45","0.15K","16.97%"
"Sep 25, 2016","72.20","72.20","72.20","72.20","0.05K","0.35%"
"Sep 18, 2016","71.95","71.95","71.95","71.95","0.05K","1.12%"
"Sep 11, 2016","71.15","71.15","71.15","71.15","0.12K","2.08%"
"Sep 04, 2016","69.70","69.70","69.70","69.70","0.12K","0.80%"
"Aug 28, 2016","69.15","69.00","69.00","69.00","0.14K","2.98%"
"Aug 21, 2016","67.15","67.15","67.15","67.15","0.19K","-0.59%"
"Aug 14, 2016","67.55","67.55","67.55","67.55","0.02K","-1.10%"
"Aug 07, 2016","68.30","68.30","68.30","68.30","0.03K","5.08%"
"Jul 31, 2016","65.00","65.00","65.00","65.00","0.17K","6.30%"
"Jul 24, 2016","61.15","61.15","61.15","61.15","0.19K","0.49%"
"Jul 17, 2016","60.85","60.85","60.85","60.85","0.02K","-0.73%"
"Jul 10, 2016","61.30","61.30","61.30","61.30","0.07K","3.46%"
"Jul 03, 2016","59.25","59.25","59.25","59.25","0.06K","1.89%"
"Jun 26, 2016","58.15","58.15","58.15","58.15","0.27K","9.92%"
"Jun 19, 2016","52.90","52.90","52.90","52.90","0.34K","0.67%"
"Jun 12, 2016","52.55","52.55","52.55","52.55","0.01K","-0.85%"
"Jun 05, 2016","53.00","53.00","53.00","53.00","0.39K","-1.85%"
"May 29, 2016","54.00","54.00","54.00","54.00","0.16K","5.16%"
"May 22, 2016","51.35","51.35","51.35","51.35","0.07K","0.79%"
"May 15, 2016","50.95","50.95","50.95","50.95","0.02K","0.79%"
"May 08, 2016","50.55","50.55","50.55","50.55","0.18K","-0.20%"
"May 01, 2016","50.65","50.65","50.65","50.65","0.15K","-0.20%"
"Apr 24, 2016","50.75","50.75","50.75","50.75","0.36K","-0.49%"
"Apr 17, 2016","51.00","51.00","51.00","51.00","0.01K","0.29%"
"Apr 10, 2016","50.85","50.85","50.85","50.85","0.01K","2.01%"
"Apr 03, 2016","49.85","49.85","49.85","49.85","0.09K","-1.29%"
"Mar 27, 2016","50.50","50.50","50.50","50.50","0.09K","-3.44%"
"Mar 20, 2016","52.30","52.30","52.30","52.30","0.01K","0.19%"
"Mar 13, 2016","52.20","52.20","52.20","52.20","0.07K","1.36%"
"Mar 06, 2016","51.50","51.50","51.50","51.50","0.31K","0.98%"
"Feb 28, 2016","51.00","51.00","51.00","51.00","0.45K","1.09%"
"Feb 21, 2016","50.45","50.45","50.45","50.45","0.06K","-0.10%"
"Feb 14, 2016","50.50","50.50","50.50","50.50","0.09K","-0.39%"
"Feb 07, 2016","50.70","50.70","50.70","50.70","0.06K","-1.74%"
"Jan 31, 2016","51.60","51.60","51.60","51.60","1.15K","5.74%"
"Jan 24, 2016","48.80","48.80","48.80","48.80","0.03K","-0.41%"
"Jan 17, 2016","49.00","49.00","49.00","49.00","0.02K","-0.31%"
"Jan 10, 2016","49.15","49.15","49.15","49.15","0.35K","-2.19%"
"Jan 03, 2016","50.25","50.25","50.25","50.25","0.40K","-0.69%"
"Dec 27, 2015","50.60","50.60","50.60","50.60","0.13K","-2.88%"
"Dec 20, 2015","52.10","52.10","52.10","52.10","0.01K","-0.19%"
"Dec 13, 2015","52.20","52.20","52.20","52.20","0.51K","-0.10%"
"Dec 06, 2015","52.25","52.25","52.25","52.25","0.43K","-1.42%"
"Nov 29, 2015","53.00","53.00","53.00","53.00","0.06K","0.28%"
"Nov 22, 2015","52.85","52.85","52.85","52.85","0.20K","-0.09%"
"Nov 15, 2015","52.90","52.90","52.90","52.90","0.11K","0.95%"
"Nov 08, 2015","52.40","52.40","52.40","52.40","0.04K","0.48%"
"Nov 01, 2015","52.15","52.15","52.15","52.15","0.36K","-1.70%"
"Oct 25, 2015","53.05","53.05","53.05","53.05","0.33K","0.47%"
"Oct 18, 2015","52.80","52.80","52.80","52.80","0.03K","-0.56%"
"Oct 11, 2015","53.10","53.10","53.10","53.10","0.01K","-0.93%"
"Oct 04, 2015","53.60","53.60","53.60","53.60","0.05K","1.23%"
"Sep 27, 2015","52.95","52.95","52.95","52.95","0.47K","-7.99%"
"Sep 20, 2015","57.55","57.55","57.55","57.55","0.42K","-0.43%"
"Sep 13, 2015","57.80","57.80","57.80","57.80","0.56K","0.17%"
"Sep 06, 2015","57.70","57.70","57.70","57.70","0.09K","-2.29%"
"Aug 30, 2015","59.05","59.05","59.05","59.05","0.35K","0.94%"
"Aug 23, 2015","58.50","58.50","58.50","58.50","0.01K","-0.51%"
"Aug 16, 2015","58.80","58.80","58.80","58.80","0.27K","-0.93%"
"Aug 09, 2015","59.35","59.35","59.35","59.35","0.03K","-1.17%"
"Aug 02, 2015","60.05","60.05","60.05","60.05","0.29K","-0.41%"
"Jul 26, 2015","60.30","60.30","60.30","60.30","0.23K","-0.17%"
"Jul 19, 2015","60.40","60.40","60.40","60.40","0.09K","0.17%"
"Jul 12, 2015","60.30","60.30","60.30","60.30","0.01K","0.00%"
"Jul 05, 2015","60.30","60.30","60.30","60.30","0.23K","0.25%"
"Jun 28, 2015","60.15","60.15","60.15","60.15","0.18K","-0.08%"
"Jun 21, 2015","60.20","60.20","60.20","60.20","0.02K","0.00%"
"Jun 14, 2015","60.20","60.20","60.20","60.20","0.02K","0.33%"
"Jun 07, 2015","60.00","60.00","60.00","60.00","0.11K","3.27%"
"May 31, 2015","58.10","58.10","58.10","58.10","0.05K","-3.25%"
"May 24, 2015","60.05","60.05","60.05","60.05","0.01K","0.08%"
